id,key,value,type
157548908,ele,156,regular
157548908,name,Onondaga Castle,regular
157548908,is_in,"Onondaga,New York,N.Y.,NY,USA",regular
157548908,place,hamlet,regular
157548908,id,959388,gnis
157548908,Class,Populated Place,gnis
157548908,County,Onondaga,gnis
157548908,ST_num,36,gnis
157548908,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157548908,ST_alpha,NY,gnis
157548908,County_num,067,gnis
157552916,ele,269,regular
157552916,name,Kellys Corners,regular
157552916,is_in,"Onondaga,New York,N.Y.,NY,USA",regular
157552916,place,hamlet,regular
157552916,id,954480,gnis
157552916,Class,Populated Place,gnis
157552916,County,Onondaga,gnis
157552916,ST_num,36,gnis
157552916,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157552916,ST_alpha,NY,gnis
157552916,County_num,067,gnis
157563077,ele,111,regular
157563077,name,Long Branch,regular
157563077,is_in,"Onondaga,New York,N.Y.,NY,USA",regular
157563077,place,hamlet,regular
157563077,id,972737,gnis
157563077,Class,Populated Place,gnis
157563077,County,Onondaga,gnis
157563077,ST_num,36,gnis
157563077,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157563077,ST_alpha,NY,gnis
157563077,County_num,067,gnis
157567135,ele,179,regular
157567135,name,Westview Manor,regular
157567135,is_in,"Onondaga,New York,N.Y.,NY,USA",regular
157567135,place,hamlet,regular
157567135,id,970948,gnis
157567135,Class,Populated Place,gnis
157567135,County,Onondaga,gnis
157567135,ST_num,36,gnis
157567135,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157567135,ST_alpha,NY,gnis
157567135,County_num,067,gnis
157573275,ele,211,regular
157573275,name,Split Rock,regular
157573275,is_in,"Onondaga,New York,N.Y.,NY,USA",regular
157573275,place,hamlet,regular
157573275,id,966012,gnis
157573275,Class,Populated Place,gnis
157573275,County,Onondaga,gnis
157573275,ST_num,36,gnis
157573275,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157573275,ST_alpha,NY,gnis
157573275,County_num,067,gnis
157580302,ele,230,regular
157580302,name,Southwood,regular
157580302,is_in,"Onondaga,New York,N.Y.,NY,USA",regular
157580302,place,hamlet,regular
157580302,id,965930,gnis
157580302,Class,Populated Place,gnis
157580302,County,Onondaga,gnis
157580302,ST_num,36,gnis
157580302,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157580302,ST_alpha,NY,gnis
157580302,County_num,067,gnis
157581317,ele,113,regular
157581317,name,Youngs,regular
